id,team_id,name,height,weight,birthday,position,debut
35,2,AYRTON PRECIADO,1.81,72,1994-07-17,forward,2017-01-01
36,2,ENNER VALENCIA,1.77,76,1989-11-04,forward,2012-01-01
37,3,EDOUARD MENDY,1.97,93,1992-03-01,keeper,2018-01-01
38,3,ALFRED GOMIS,1.96,87,1993-09-05,keeper,2017-01-01
39,3,SALIOU CISS,1.75,70,1989-09-15,defender,2012-01-01
40,3,PAPE ABOU CISSE,1.97,83,1995-09-14,defender,2018-01-01
41,3,ABDOU DIALLO,1.87,79,1996-05-04,defender,2021-01-01
42,3,KALIDOU KOULIBALY,1.95,89,1991-06-04,defender,2015-01-01
43,3,IBRAHIMA MBAYE,1.88,70,1994-11-19,defender,2016-01-01
44,3,BOUNA SARR,1.78,71,1992-01-31,defender,2021-01-01
45,3,KREPIN DIATTA,1.75,59,1999-12-21,midfielder,2019-01-01
46,3,IDRISSA GUEYE,1.74,66,1989-06-23,midfielder,2011-01-01
47,3,PAPE GUEYE,1.87,79,1999-01-24,midfielder,2021-01-01
48,3,CHEIKHOU KOYATE,1.89,83,1989-12-21,midfielder,2012-01-01
49,3,MAMPALYS MENDY,1.67,73,1992-06-23,midfielder,2021-01-01
50,3,BOULAYE DIA,1.8,75,1996-11-16,forward,2020-01-01
51,3,FAMARA DIEDHIOU,1.89,80,1992-12-15,forward,2014-01-01
52,3,BAMBA DIEG,1.78,72,2000-03-23,forward,2021-01-01
53,3,SADIO MANE,1.75,89,1992-04-10,forward,2012-01-01
54,3,ISMAILA SARR,1.85,76,1998-02-25,forward,2016-01-01
55,4,JUSTIN BIJLOW,1.90,84,1998-01-22,keeper,2021-01-01
56,4,JASPER CILLESSEN,1.85,83,1989-04-22,keeper,2013-01-01
57,4,DALEY BLIND,1.80,72,1990-03-09,defender,2013-01-01
58,4,MATTHIJS DE LIGT,1.88,96,1999-08-12,defender,2017-01-01
59,4,STEFAN DE VIRJ,1.89,78,1992-02-05,defender,2012-01-01
60,4,DENZEL DUMFRIES,1.88,80,1996-04-18,defender,2018-01-01
61,4,VIRGIL VAN DIJK,1.93,92,1991-07-08,defender,2015-01-01
62,4,STEVEN BERGHUIS,1.82,75,1991-12-19,midfielder,2016-01-01
63,4,FRANKIE DE JONG,1.80,74,1997-05-12,midfielder,2018-01-01
64,4,RYAN GRAVENBERCH,1.90,83,2002-05-16,midfielder,2021-01-01
65,4,DAVY KLAASSEN,1.79,70,1993-02-21,midfielder,2014-01-01
66,4,TEUN KOOPMEINERS,1.83,77,1998-02-28,midfielder,2020-01-01
67,4,GEORGINIO WIJNALDUM,1.73,74,1990-11-11,midfielder,2011-01-01
68,4,STEVEN BERGWIJN,1.78,74,1997-10-08,forward,2018-01-01
69,4,ARANAUT DANJUMA,1.78,74,1997-01-31,forward,2018-01-01
70,4,MEMPHIS DEPAY,1.76,78,1994-02-13,forward,2013-01-01
71,4,CODY GAKPO,1.89,76,1999-05-07,forward,2021-01-01
72,4,DONYELL MALEN,1.79,78,1999-01-19,forward,2019-01-01
73,5,JORDAN PICKFORD,1.85,77,1994-03-07,keeper,2017-01-01
74,5,AARON RAMSDALE,1.88,77,1998-05-14,keeper,2021-01-01
75,5,TRENT ALEXANDER-ARNOLD,1.75,69,1998-10-07,defender,2018-01-01
76,5,CONOR COADY,1.86,80,1993-02-25,defender,2020-01-01
77,5,HARRY MAGUIRE,1.94,100,1993-03-05,defender,2017-01-01
78,5,LUKE SHAW,1.85,75,1995-07-12,defender,2014-01-01
79,5,JOHN STONES,1.88,70,1994-05-28,defender,2014-01-01
80,5,KYLE WALKER,1.78,70,1990-05-28,defender,2011-01-01
81,5,JUDE BELLINGHAM,1.86,75,2003-06-29,midfielder,2020-01-01
82,5,JACK GREALISH,1.75,68,1995-09-10,midfielder,2020-01-01
83,5,JORDAN HENDERSON,1.82,67,1990-06-17,midfielder,2010-01-01
84,5,MASON MOUNT,1.78,70,1999-01-10,midfielder,2019-01-01
85,5,KALVIN PHILLIPS,1.78,73,1995-12-02,midfielder,2020-01-01
86,5,DECLAN RICE,1.85,80,1999-01-14,midfielder,2019-01-01
87,5,PHIL FODEN,1.71,70,2000-05-28,forward,2020-01-01
88,5,HARRY KANE,1.88,85,1993-07-28,forward,2015-01-01
89,5,BUKAYO SAKA,1.78,65,2001-09-05,forward,2020-01-01
90,5,RAHEEM STERLING,1.70,69,1994-12-08,forward,2012-01-01
91,6,AMIR ABEDZADEH,1.87,86,1993-04-26,keeper,2018-01-01
92,6,ALIREZA BEIRANVAND,1.95,79,1993-04-26,keeper,2018-01-01
93,6,EHSAN HAJSAFI,1.76,74,1990-02-25,defender,2008-01-01
94,6,MAJID HOSSEINI,1.83,78,1996-06-20,defender,2018-01-01
95,6,HOSSEIN KANAANI,1.88,81,1994-03-23,defender,2015-01-01
96,6,SHOJA KHALILZADEH,1.83,80,1989-05-14,defender,2012-01-01
97,6,MILAD MOHAMMADI,1.78,79,1993-09-29,defender,2015-01-01
98,6,SADEGH MOHARRAMI,1.74,71,1996-03-01,defender,2018-01-01
99,6,OMID NOORAFKAN,1.82,78,1997-04-09,defender,2018-01-01
100,6,VAHID AMIRI,1.82,79,1988-04-02,midfielder,2015-01-01
101,6,SAIED EZATOLAHI,1.90,78,1996-10-01,midfielder,2015-01-01
102,6,ALI GHOLIZADEH,1.76,69,1996-03-10,midfielder,2018-01-01
103,6,ALIREZA JAHANBAKHSH,1.80,76,1993-08-11,midfielder,2013-01-01
104,6,AHMAD NOUROLLAHI,1.83,74,1993-02-01,midfielder,2018-01-01
105,6,KARIM ANSARIFARD,1.86,77,1990-04-03,forward,2009-01-01
106,6,SARDAR AZMOUN,1.86,77,1995-01-01,forward,2014-01-01
107,6,SAMAN GHODDOS,1.76,75,1993-09-06,forward,2017-01-01
108,6,MEHDI TAREMI,1.87,79,1992-07-18,forward,2015-01-01
109,7,MATT TURNER,1.90,79,1994-06-24,keeper,2021-01-01
110,7,ZACK STEFFEN,1.91,86,1995-04-02,keeper,2018-01-01
111,7,SERGINO DEST,1.75,62,2000-11-02,defender,2019-01-01
112,7,AARON LONG,1.85,79,1992-10-12,defender,2018-01-01
113,7,CHRIS RICHARDS,1.88,87,2000-03-28,defender,2020-01-01
114,7,ANTONEE ROBINSON,1.83,70,1997-08-08,defender,2018-01-01
115,7,DEANDRE YEDLIN,1.72,74,1993-07-09,defender,2014-01-01
116,7,WALKER ZIMMERMAN,1.90,89,1993-05-19,defender,2017-01-01
117,7,BRENDEN AARONSON,1.78,70,2000-10-23,midfielder,2020-01-01
118,7,KELLYN ACOSTA,1.78,68,1995-07-24,midfielder,2016-01-01
119,7,TAYLER ADAMS,1.75,72,1992-02-14,midfielder,2017-01-01
120,7,WESTON MCKENNIE,1.80,86,1998-08-28,midfielder,2017-01-01
121,7,YUNUS MUSAH,1.78,71,2002-11-29,midfielder,2020-01-01
122,7,JESUS FERREIRA,1.75,68,2000-12-24,forward,2020-01-01
123,7,RICARDO PEPI,1.85,74,2003-01-09,forward,2021-01-01
124,7,CHRISTIAN PULISIC,1.77,73,1998-09-18,forward,2016-01-01
125,7,GIOVANNI REYNA,1.85,79,2002-11-13,forward,2020-01-01
126,7,TIMOTHY WEAH,1.85,66,2000-02-22,forward,2018-01-01
127,8,DANNY WARD,1.91,88,1993-06-22,keeper,2016-01-01
128,8,WAYNE HENNESSEY,1.98,90,1987-01-24,keeper,2007-01-01
129,8,ETHAN AMPADU,1.83,78,2000-09-14,defender,2017-01-01
130,8,BEN DAVIES,1.81,76,1993-04-24,defender,2012-01-01
131,8,CHRIS GUNTER ,1.80,71,1989-07-21,defender,2007-01-01
132,8,CHRIS MEPHAM,1.91,84,1997-11-05,defender,2018-01-01
133,8,CONNOR ROBERTS,1.73,75,1995-09-23,defender,2018-01-01
134,8,JOE RODON,1.92,87,1997-10-22,defender,2019-01-01
135,8,NECO WILLIAMS,1.83,72,2001-04-13,defender,2020-01-01
136,8,JOE ALLEN,1.68,62,1990-03-14,midfielder,2009-01-01
137,8,JOE MORREL,1.85,77,1997-01-03,midfielder,2019-01-01
138,8,AARON RAMSEY,1.80,78,1990-12-26,midfielder,2008-01-01
139,8,JONATHAN WILLIAMS ,1.68,60,1993-10-09,midfielder,2013-01-01
140,8,HARRY WILSON,1.73,70,1997-03-23,midfielder,2020-01-01
141,8,GARETH BALE,1.85,81,1989-07-16,forward,2006-01-01
142,8,DANIEL JAMES,1.70,76,1997-11-10,forward,2018-01-01
143,8,BRENNAN JOHNSON,1.79,73,2001-05-23,forward,2020-01-01
144,8,KIEFFER MOORE,1.96,83,1992-08-08,forward,2019-01-01
145,9,EMILIANO MARTINEZ,1.95,88,1992-09-02,keeper,2021-01-01
146,9,FRANCO ARMANI,1.89,85,1986-10-16,keeper,2018-01-01
147,9,MARCOS ACUNA,1.72,69,1991-10-28,defender,2016-01-01
148,9,NAHUEL MOLINA,1.75,70,1998-04-06,defender,2021-01-01
149,9,NICOLAS OTAMENDI,1.83,81,1988-02-12,defender,2009-01-01
150,9,GERMAN PEZZELLA,1.87,82,1991-06-27,defender,2017-01-01
151,9,CRISTIAN ROMERO,1.85,79,1998-04-27,defender,2021-01-01
152,9,RODRIGO DE PAUL,1.80,70,1994-05-24,midfielder,2018-01-01
153,9,ANGEL DI MARIA,1.8,75,1988-02-14,midfielder,2008-01-01
154,9,GIOVANI LO CELSO,1.77,70,1996-04-09,midfielder,2017-01-01
155,9,LEANDRO PAREDES,1.80,75,1994-06-29,midfielder,2017-01-01
156,9,GUIDO RODRIGUEZ,1.85,80,1994-04-12,midfielder,2017-01-01
157,9,JULIAN ALVAREZ,1.70,71,2000-01-31,forward,2021-01-01
158,9,JOAQUIN CORREA,1.88,77,1994-08-13,forward,2017-01-01
159,9,ALEJANDRO GOMEZ,1.65,68,1998-02-15,forward,2017-01-01
160,9,NICOLAS GONZALEZ,1.80,72,1998-04-06,forward,2019-01-01
161,9,LAUTARO MARTINEZ,1.74,72,1997-08-22,forward,2018-01-01
162,9,LIONEL MESSI,1.7,72,1987-06-24,forward,2005-01-01
163,10,MOHAMMED AL-OWAIS,1.85,70,1991-10-10,keeper,2015-01-01
164,10,MOHAMMED AL-RUBAIE,1.88,77,1997-08-14,keeper,2019-01-01
165,10,ABDULELAH AL-AMRI,1.85,74,1997-01-15,defender,2021-01-01
166,10,ALIAL-BOLEAHI,1.85,80,1989-11-21,defender,2018-01-01
167,10,MOHAMMED AL-BURAYK,1.73,69,1992-09-15,defender,2017-01-01
168,10,SULTAN AL-GHANNAM,1.73,67,1994-05-06,defender,2019-01-01
169,10,YASSER AL-SHAHRANI,1.71,72,1992-05-25,defender,2012-01-01
170,10,HASSAN AL-TAMBAKTI,1.82,73,1992-02-09,defender,2019-01-01
171,10,ABULLAH MADU,1.87,77,1993-07-15,defender,2019-01-01
172,10,SALAM AL-FARAJ,1.80,62,1989-08-01,midfielder,2012-01-01
173,10,ABDULELAH AL-MALKI,1.76,69,1994-10-11,midfielder,2019-01-01
174,10,SAMI AL-NAJEI,1.76,68,1997-02-07,midfielder,2017-01-01
175,10,HATTAN BAHEBRI,1.70,67,1992-07-16,midfielder,2017-01-01
176,10,MOHAMMED KANNO,1.91,73,1994-09-22,midfielder,2017-01-01
177,10,ABDULLAH OTAYF,1.77,68,1992-08-03,midfielder,2012-01-01
178,10,FIRAS AL-BURAIKAN,1.81,80,2000-05-14,forward,2019-01-01
179,10,SALEM AL-DAWSARI,1.71,72,1991-08-19,forward,2012-01-01
180,10,KHALID AL-GHANNAM,1.71,64,2000-11-08,forward,2022-01-01
181,11,GUILLERMO OCHOA,1.83,78,1985-07-13,keeper,2005-01-01
182,11,ALFREDO TALVERA,1.88,80,1982-09-18,keeper,2011-01-01
183,11,NESTOR ARAUJO,1.88,87,1991-09-29,defender,2011-01-01
184,11,JESUS GALLARDO,1.76,73,1994-08-15,defender,2016-01-01
185,11,CESAR MONTES,1.91,70,1997-02-24,defender,2017-01-01
186,11,HECTOR MORENO,1.83,80,1988-01-17,defender,2007-01-01
187,11,LUIS ROMO,1.82,84,1995-06-05,defender,2019-01-01
188,11,JORGE SANCHEZ,1.75,71,1997-12-10,defender,2019-01-01
189,11,EDSON ALVAREZ,1.87,73,1997-10-24,midfielder,2017-01-01
190,11,JESUS MANUEL CORONA,1.73,62,1993-01-06,midfielder,2014-01-01
191,11,ANDRES GUARDADO,1.69,60,1986-09-28,midfielder,2005-01-01
192,11,ERICK GUTIERREZ,1.78,70,1995-06-15,midfielder,2016-01-01
193,11,HECTOR HERRERA,1.85,78,1990-04-19,midfielder,2012-01-01
194,11,DIEGO LAINEZ,1.68,58,2000-06-09,midfielder,2018-01-01
195,11,CARLOS RODRIGUEZ,1.76,66,1997-01-03,midfielder,2019-01-01
196,11,ROGELIO FUNES MORI,1.90,74,1991-03-05,forward,2021-01-01
197,11,RAUL JIMENEZ,1.90,76,1991-05-05,forward,2013-01-01
198,11,HIRVING LOZANO,1.77,70,1995-07-30,forward,2016-01-01
199,12,WOJCIECH SZCZESNY,1.92,96,1990-04-18,keeper,2009-01-01
200,12,JAN BEDNAREK,1.89,77,1996-04-12,defender,2017-01-01
201,12,LUKASZ SKORUPSKI,1.87,84,1991-05-05,keeper,2012-01-01
202,12,BARTOSZ BERESZYNSKI,1.83,77,1992-07-12,defender,2013-01-01
203,12,MATTY CASH,1.85,64,1997-08-07,defender,2021-01-01
204,12,KAMIL GLIK,1.90,80,1988-02-03,defender,2010-01-01
205,12,TYMOTEUSZ PUCHACZ,1.80,74,1999-01-23,defender,2021-01-01
206,12,MACIEJ RYBUS,1.73,75,1989-08-19,defender,2009-01-01
207,12,KAMIL JOZWIAK,1.76,70,1998-04-22,midfielder,2019-01-01
208,12,MATEUSZ KLICH,1.83,84,1990-06-13,midfielder,2011-01-01
209,12,GRZEGORZ KRYCHOWIAK,1.87,84,1990-01-29,midfielder,2008-01-01
210,12,JAKUB MODER,1.88,78,1999-04-07,midfielder,2020-01-01
211,12,SEBASTIAN SZYMANSKI,1.74,60,1999-05-10,midfielder,2019-01-01
212,12,PIOTR ZIELINSKI,1.80,75,1994-05-20,midfielder,2013-01-01
213,12,ROBERT LEWANDOWSKI,1.84,80,1988-08-21,forward,2008-01-01
214,12,ARKADIUSZ MILIK ,1.86,78,1994-02-28,forward,2012-01-01
215,12,KRZYSZTOF PIATEK,1.83,77,1995-07-01,forward,2018-01-01
216,12,KAROL SWIDERSKI,1.84,78,1997-01-23,forward,2021-01-01
217,13,HUGO LLORIS,1.88,82,1986-12-26,keeper,2008-01-01
218,13,MIKE MAIGNAN,1.91,91,1995-07-03,keeper,2020-01-01
219,13,LUCAS HERNANDEZ,1.80,75,1996-02-14,defender,2018-01-01
220,13,THEO HERNANDEZ,1.84,81,1997-10-06,defender,2021-01-01
221,13,PRESNEL KIMPEMBE,1.82,79,1995-08-13,defender,2018-01-01
222,13,JULES KOUNDE,1.80,75,1998-11-12,defender,2021-01-01
223,13,BENJAMIN PAVARD,1.86,76,1996-03-28,defender,2017-01-01
224,13,RAPHAEL VARANE,1.91,81,1993-04-25,defender,2013-01-01
225,13,NGOLO KANTE,1.68,70,1991-03-29,midfielder,2016-01-01
226,13,PAUL POGBA,1.91,87,1993-03-15,midfielder,2013-01-01
227,13,ADRIEN RABIOT,1.86,72,1995-04-03,midfielder,2016-01-01
228,13,AURELIEN TCHOUAMENI,1.85,80,2000-01-20,midfielder,2021-01-01
229,13,WISSAM BEN YEDDER,1.70,68,1990-08-12,forward,2018-01-01
230,13,KARIM BENZEMA,1.85,81,1987-12-19,forward,2007-01-01
231,13,KINGSLEY COMAN,1.81,71,1996-06-13,forward,2015-01-01
232,13,ANTOINE GRIEZMANN,1.76,73,1991-03-21,forward,2014-01-01
233,13,KYLIAN MBAPPE,1.78,73,1998-12-20,forward,2017-01-01
234,13,CHRISTOPHER NKUNKU,1.75,73,1997-11-14,forward,2022-01-01
235,14,MATHEW RYAN,1.84,82,1992-04-08,keeper,2012-01-01
236,14,ANDREW REDMAYNE,1.94,83,1989-01-13,keeper,2019-01-01
237,14,AZIZ BEHICH,1.70,63,1990-12-16,defender,2012-01-01
238,14,MILOS DEGNEK,1.87,82,1994-04-28,defender,2016-01-01
239,14,RHYAN GRANT,1.76,79,1992-02-26,defender,2018-01-01
240,14,JOEL KING,1.80,78,2000-10-30,defender,2022-01-01
241,14,TRENT SAINSBURY,1.83,76,1991-01-05,defender,2014-01-01
242,14,HARRY SOUTTAR,1.98,79,1998-10-22,defender,2019-01-01
243,14,AJDIN HRUSTIC,1.83,74,1996-07-05,midfielder,2017-01-01
244,14,JACKSON IRVINE,1.89,70,1993-03-07,midfielder,2013-01-01
245,14,JAMES JEGGO,1.79,66,1992-02-12,midfielder,2018-01-01
246,14,AWER MABIL,1.79,65,1995-09-15,midfielder,2018-01-01
247,14,AARON MOOY,1.74,68,1990-09-15,midfielder,2012-01-01
248,14,MARTIN BOYLE,1.72,53,1993-04-25,forward,2018-01-01
249,14,MITCHELL DUKE,1.86,84,1991-01-18,forward,2013-01-01
250,14,CRAIG GOODWIN,1.80,72,1991-12-16,forward,2013-01-01
251,14,MATHEW LECKIE,1.81,82,1991-02-04,forward,2012-01-01
252,14,ADAM TAGGART,1.83,69,1993-06-02,forward,2012-01-01
253,15,KASPER SCHMEICHEL,1.89,89,1986-11-05,keeper,2013-01-01
254,15,FREDERIK RONNOW,1.88,77,1992-08-04,keeper,2016-01-01
255,15,ANNDREAS CHRISTENSEN,1.87,82,1996-04-10,defender,2015-01-01
256,15,SUNIB KJAER,1.89,82,1989-03-26,defender,2009-01-01
257,15,JOAKIM MAEHLE,1.84,79,1997-05-20,defender,2020-01-01
258,15,JEN STRYGER LARSEN,1.80,74,1992-08-03,defender,2016-01-01
259,15,JANNIK VESTERGAARD,1.99,96,1992-08-03,defender,2013-01-01
260,15,MIKKEL DAMSGAARD,1.80,71,2000-07-03,midfielder,2020-01-01
261,15,THOMAS DELANEY,1.82,79,1991-09-03,midfielder,2013-01-01
262,15,CHRISTIAN ERIKSEN,1.82,76,1992-02-14,midfielder,2010-01-01
263,15,PIERRE EMILE HOJBJERG,1.87,84,1995-08-05,midfielder,2014-01-01
264,15,CHRISTIAN NORGAARD,1.87,77,1994-03-10,midfielder,2020-01-01
265,15,DANIEL WASS,1.81,74,1989-05-31,midfielder,2011-01-01
266,15,MARTIN BRAITHWAITE,1.77,73,1991-06-05,forward,2013-01-01
267,15,KASPER DOLBERG,1.87,82,1997-10-06,forward,2016-01-01
268,15,YUSSF POULSEN,1.93,78,1994-06-15,forward,2014-01-01
269,15,ANDREAS SKOV OLSEN,1.87,75,1999-12-29,forward,2020-01-01
270,15,JONAS WIND,1.90,82,1999-02-07,forward,2020-01-01
271,16,BECHIR BEN SAID,1.88,80,1994-11-29,keeper,2022-01-01
272,16,FAROUK BEN MUSTAPHA,1.92,83,1989-07-01,keeper,2012-01-01
273,16,DYLAN BROWN,1.85,76,1995-06-19,defender,2017-01-01
274,16,MOHAMMED DRAGER,1.78,74,1996-06-25,defender,2018-01-01
275,16,BILEL IFA,1.85,74,1990-03-09,defender,2008-01-01
276,16,ALI MAALOUL,1.75,72,1990-01-01,defender,2013-01-01
277,16,HAMZA MATHLOUTHI,1.84,74,1992-07-25,defender,2014-01-01
278,16,YASSINE MERIAH,1.88,85,1993-07-02,defender,2015-01-01
279,16,MONTASSAR TALBI,1.90,81,1998-05-26,defender,2021-01-01
280,16,MOHAMED ALI BEIN ROMDHANE,1.85,75,1999-09-06,midfielder,2019-01-01
281,16,WHABI KHAZRI,1.82,76,1991-02-08,midfielder,2013-01-01
282,16,AISSA LAIDOUNI,1.83,75,1996-12-13,midfielder,2021-01-01
283,16,FERJANI SASSI,1.86,80,1992-03-18,midfielder,2013-01-01
284,16,ELLYES SKHIRI,1.85,73,1995-05-10,midfielder,2018-01-01
285,16,ANIS SLIMANE,1.88,82,2001-03-16,midfielder,2020-01-01
286,16,SEIFEDDINE JAZIRI,1.80,71,1992-02-12,forward,2016-01-01
287,16,YOUSEF MSAKNI,1.79,73,1990-10-28,forward,2010-01-01
288,16,NAIM SLITI,1.73,75,1992-07-27,forward,2016-01-01
289,17,UNAI SIMON,1.90,88,1997-06-11,keeper,2020-01-01
290,17,ROBERT SANCHEZ,1.97,90,1997-11-16,keeper,2021-01-01
291,17,CESAR AZPILICUETA,1.78,77,1989-08-28,defender,2013-01-01
292,17,ERIK GARCIA,1.82,79,2001-01-09,defender,2020-01-01
293,17,JORDI ALBA,1.70,68,1989-03-21,defender,2011-01-01
294,17,AYMERIC LAPORTE,1.89,85,1994-05-27,defender,2021-01-01
295,17,PAU TORRES,1.91,80,1997-01-16,defender,2019-01-01
296,17,GAVI,1.73,68,2004-08-05,midfielder,2021-01-01
297,17,KOKE,1.76,74,1992-01-08,midfielder,2013-01-01
298,17,MARCOS LLORENTE,1.84,74,1995-01-30,midfielder,2020-01-01
299,17,PEDRI,1.74,60,2002-11-25,midfielder,2021-01-01
300,17,RODRI,1.91,82,1996-06-22,midfielder,2018-01-01
301,17,SERGIO BUSQUETS,1.89,76,1988-07-16,midfielder,2009-01-01
302,17,DANI OLMO,1.79,72,1998-05-07,forward,2019-01-01
303,17,ANSU FATI,1.78,66,2002-10-31,forward,2020-01-01
304,17,FERRAN TORRES,1.84,77,2000-02-29,forward,2020-01-01
305,17,ALVARO MORATA,1.89,82,1992-10-23,forward,2014-01-01
306,17,PABLO SARABIA,1.74,70,1992-05-07,forward,2019-01-01
307,18,KEYLOR NAVAS,1.85,80,1986-12-15,keeper,2009-01-01
308,18,LEONEL MOREIRA,1.79,71,1990-04-02,keeper,2011-01-01
309,18,RICARDO BLANCO,1.70,65,1989-05-12,defender,2010-01-01
310,18,FRANCISCO CALVO,1.80,77,1992-07-08,defender,2011-01-01
311,18,OSCAR DUARTE,1.86,81,1989-06-03,defender,2010-01-01
312,18,KEYSHER FULLER,1.83,78,1994-07-12,defender,2019-01-01
313,18,BRAYAN OVIEDO,1.72,70,1990-02-18,defender,2010-01-01
314,18,JUAN PABLO VARGAS,1.92,88,1995-06-06,defender,2017-01-01
315,18,KENDALL WATSON,1.95,97,1988-01-01,defender,2013-01-01
316,18,CELSO BORGES,1.82,79,1988-05-27,midfielder,2008-01-01
317,18,ORLANDO GALO,1.76,73,2000-08-11,midfielder,2021-01-01
318,18,BRYAN RUIZ,1.88,81,1985-05-18,midfielder,2005-01-01
319,18,YELTSIN TEJEDA,1.79,66,1992-03-17,midfielder,2011-01-01
320,18,JEWISON BENNETE,1.75,70,2004-06-15,forward,2021-01-01
321,18,JOEL CAMPBELL,1.78,71,1992-06-26,forward,2011-01-01
322,18,ANTHONY CONTRERAS,1.80,72,2000-01-29,forward,2021-01-01
323,18,GERSON TORRES,1.76,71,1997-08-28,forward,2017-01-01
324,18,JOHAN VENEGAS,1.83,76,1988-11-27,forward,2014-01-01
325,19,MANUEL NEUER,1.93,92,1986-03-27,keeper,2009-01-01
326,19,MARC-ANDRE TER STEGEN,1.87,85,1992-04-30,keeper,2012-01-01
327,19,MATTHIAS GINTER,1.88,83,1994-01-19,defender,2014-01-01
328,19,ROBIN GOSENS,1.83,76,1994-07-05,defender,2020-01-01
329,19,THILO KEHRER,1.86,76,1996-09-21,defender,2018-01-01
330,19,DAVID RAUM,1.80,75,1998-04-22,defender,2021-01-01
331,19,ANTONIO RUDIGER,1.90,85,1993-03-03,defender,2014-01-01
332,19,NIKLAS SULE,1.95,97,1995-09-03,defender,2016-01-01
333,19,LEON GORETZKA,1.89,79,1995-02-06,midfielder,2014-01-01
334,19,ILKAY GUNDOGAN,1.80,79,1990-10-24,midfielder,2011-01-01
335,19,KAI HAVERTZ,1.89,82,1999-06-11,midfielder,2018-01-01
336,19,JONAS HOFMANN,1.76,73,1992-07-14,midfielder,2020-01-01
337,19,JOSHUA KIMMICH,1.76,73,1995-02-08,midfielder,2016-01-01
338,19,SERGE GNABRY,1.75,75,1995-07-14,forward,2016-01-01
339,19,THOMAS MULLER,1.86,75,1989-09-13,forward,2010-01-01
340,19,MARCO REUS,1.80,71,1989-05-31,forward,2011-01-01
341,19,LEROY SANE,1.83,75,1996-01-11,forward,2015-01-01
342,19,TIMO WERNER,1.80,75,1996-03-06,forward,2017-01-01
343,20,SHUICHI GONDA,1.87,84,1989-03-03,keeper,2010-01-01
344,20,EIJI KAWASHIMA,1.85,82,1983-03-20,keeper,2008-01-01
345,20,YUTO NAGATOMO,1.70,68,1986-09-12,defender,2008-01-01
346,20,YUTA NAKAYAMA,1.81,76,1997-02-16,defender,2019-01-01
347,20,TAKEHIRO TOMIYASU,1.87,84,1998-11-05,defender,2018-01-01
348,20,MIKI YAMANE,1.78,72,1993-12-22,defender,2021-01-01
349,20,MAYA YOSHIDA,1.89,87,1988-08-24,defender,2010-01-01
350,20,WATARU ENDO,1.76,76,1993-02-09,midfielder,2015-01-01
351,20,GENKI HARAGUCHI,1.77,68,1991-05-09,midfielder,2011-01-01
