id,player_id,team_id,world_cup_id,weight,height,position
90,90,5,1,69,1.7,forward
91,91,6,1,86,1.87,keeper
92,92,6,1,79,1.95,keeper
93,93,6,1,74,1.76,defender
94,94,6,1,78,1.83,defender
95,95,6,1,81,1.88,defender
96,96,6,1,80,1.83,defender
97,97,6,1,79,1.78,defender
98,98,6,1,71,1.74,defender
99,99,6,1,78,1.82,defender
100,100,6,1,79,1.82,midfielder
101,101,6,1,78,1.9,midfielder
102,102,6,1,69,1.76,midfielder
103,103,6,1,76,1.8,midfielder
104,104,6,1,74,1.83,midfielder
105,105,6,1,77,1.86,forward
106,106,6,1,77,1.86,forward
107,107,6,1,75,1.76,forward
108,108,6,1,79,1.87,forward
109,109,7,1,79,1.9,keeper
110,110,7,1,86,1.91,keeper
111,111,7,1,62,1.75,defender
112,112,7,1,79,1.85,defender
113,113,7,1,87,1.88,defender
114,114,7,1,70,1.83,defender
115,115,7,1,74,1.72,defender
116,116,7,1,89,1.9,defender
117,117,7,1,70,1.78,midfielder
118,118,7,1,68,1.78,midfielder
119,119,7,1,72,1.75,midfielder
120,120,7,1,86,1.8,midfielder
121,121,7,1,71,1.78,midfielder
122,122,7,1,68,1.75,forward
123,123,7,1,74,1.85,forward
124,124,7,1,73,1.77,forward
125,125,7,1,79,1.85,forward
126,126,7,1,66,1.85,forward
127,127,8,1,88,1.91,keeper
128,128,8,1,90,1.98,keeper
129,129,8,1,78,1.83,defender
130,130,8,1,76,1.81,defender
131,131,8,1,71,1.8,defender
132,132,8,1,84,1.91,defender
133,133,8,1,75,1.73,defender
134,134,8,1,87,1.92,defender
135,135,8,1,72,1.83,defender
136,136,8,1,62,1.68,midfielder
137,137,8,1,77,1.85,midfielder
138,138,8,1,78,1.8,midfielder
139,139,8,1,60,1.68,midfielder
140,140,8,1,70,1.73,midfielder
141,141,8,1,81,1.85,forward
142,142,8,1,76,1.7,forward
143,143,8,1,73,1.79,forward
144,144,8,1,83,1.96,forward
145,145,9,1,88,1.95,keeper
146,146,9,1,85,1.89,keeper
147,147,9,1,69,1.72,defender
148,148,9,1,70,1.75,defender
149,149,9,1,81,1.83,defender
150,150,9,1,82,1.87,defender
151,151,9,1,79,1.85,defender
152,152,9,1,70,1.8,midfielder
153,153,9,1,75,1.8,midfielder
154,154,9,1,70,1.77,midfielder
155,155,9,1,75,1.8,midfielder
156,156,9,1,80,1.85,midfielder
157,157,9,1,71,1.7,forward
158,158,9,1,77,1.88,forward
159,159,9,1,68,1.65,forward
160,160,9,1,72,1.8,forward
161,161,9,1,72,1.74,forward
162,162,9,1,72,1.7,forward
163,163,10,1,70,1.85,keeper
164,164,10,1,77,1.88,keeper
165,165,10,1,74,1.85,defender
166,166,10,1,80,1.85,defender
167,167,10,1,69,1.73,defender
168,168,10,1,67,1.73,defender
169,169,10,1,72,1.71,defender
170,170,10,1,73,1.82,defender
171,171,10,1,77,1.87,defender
172,172,10,1,62,1.8,midfielder
173,173,10,1,69,1.76,midfielder
174,174,10,1,68,1.76,midfielder
175,175,10,1,67,1.7,midfielder
176,176,10,1,73,1.91,midfielder
177,177,10,1,68,1.77,midfielder
178,178,10,1,80,1.81,forward
179,179,10,1,72,1.71,forward
180,180,10,1,64,1.71,forward
181,181,11,1,78,1.83,keeper
182,182,11,1,80,1.88,keeper
183,183,11,1,87,1.88,defender
184,184,11,1,73,1.76,defender
185,185,11,1,70,1.91,defender
186,186,11,1,80,1.83,defender
187,187,11,1,84,1.82,defender
188,188,11,1,71,1.75,defender
189,189,11,1,73,1.87,midfielder
190,190,11,1,62,1.73,midfielder
191,191,11,1,60,1.69,midfielder
192,192,11,1,70,1.78,midfielder
193,193,11,1,78,1.85,midfielder
194,194,11,1,58,1.68,midfielder
195,195,11,1,66,1.76,midfielder
196,196,11,1,74,1.9,forward
197,197,11,1,76,1.9,forward
198,198,11,1,70,1.77,forward
199,199,12,1,96,1.92,keeper
200,200,12,1,77,1.89,defender
201,201,12,1,84,1.87,keeper
202,202,12,1,77,1.83,defender
203,203,12,1,64,1.85,defender
204,204,12,1,80,1.9,defender
205,205,12,1,74,1.8,defender
206,206,12,1,75,1.73,defender
207,207,12,1,70,1.76,midfielder
208,208,12,1,84,1.83,midfielder
209,209,12,1,84,1.87,midfielder
210,210,12,1,78,1.88,midfielder
211,211,12,1,60,1.74,midfielder
212,212,12,1,75,1.8,midfielder
213,213,12,1,80,1.84,forward
214,214,12,1,78,1.86,forward
215,215,12,1,77,1.83,forward
216,216,12,1,78,1.84,forward
217,217,13,1,82,1.88,keeper
218,218,13,1,91,1.91,keeper
219,219,13,1,75,1.8,defender
220,220,13,1,81,1.84,defender
221,221,13,1,79,1.82,defender
222,222,13,1,75,1.8,defender
223,223,13,1,76,1.86,defender
224,224,13,1,81,1.91,defender
225,225,13,1,70,1.68,midfielder
226,226,13,1,87,1.91,midfielder
227,227,13,1,72,1.86,midfielder
228,228,13,1,80,1.85,midfielder
229,229,13,1,68,1.7,forward
230,230,13,1,81,1.85,forward
231,231,13,1,71,1.81,forward
232,232,13,1,73,1.76,forward
233,233,13,1,73,1.78,forward
234,234,13,1,73,1.75,forward
235,235,14,1,82,1.84,keeper
236,236,14,1,83,1.94,keeper
237,237,14,1,63,1.7,defender
238,238,14,1,82,1.87,defender
239,239,14,1,79,1.76,defender
240,240,14,1,78,1.8,defender
241,241,14,1,76,1.83,defender
242,242,14,1,79,1.98,defender
243,243,14,1,74,1.83,midfielder
244,244,14,1,70,1.89,midfielder
245,245,14,1,66,1.79,midfielder
246,246,14,1,65,1.79,midfielder
247,247,14,1,68,1.74,midfielder
248,248,14,1,53,1.72,forward
249,249,14,1,84,1.86,forward
250,250,14,1,72,1.8,forward
251,251,14,1,82,1.81,forward
252,252,14,1,69,1.83,forward
253,253,15,1,89,1.89,keeper
254,254,15,1,77,1.88,keeper
255,255,15,1,82,1.87,defender
256,256,15,1,82,1.89,defender
257,257,15,1,79,1.84,defender
258,258,15,1,74,1.8,defender
259,259,15,1,96,1.99,defender
260,260,15,1,71,1.8,midfielder
261,261,15,1,79,1.82,midfielder
262,262,15,1,76,1.82,midfielder
263,263,15,1,84,1.87,midfielder
264,264,15,1,77,1.87,midfielder
265,265,15,1,74,1.81,midfielder
266,266,15,1,73,1.77,forward
267,267,15,1,82,1.87,forward
268,268,15,1,78,1.93,forward
269,269,15,1,75,1.87,forward
270,270,15,1,82,1.9,forward
271,271,16,1,80,1.88,keeper
272,272,16,1,83,1.92,keeper
273,273,16,1,76,1.85,defender
274,274,16,1,74,1.78,defender
275,275,16,1,74,1.85,defender
276,276,16,1,72,1.75,defender
277,277,16,1,74,1.84,defender
278,278,16,1,85,1.88,defender
279,279,16,1,81,1.9,defender
280,280,16,1,75,1.85,midfielder
281,281,16,1,76,1.82,midfielder
282,282,16,1,75,1.83,midfielder
283,283,16,1,80,1.86,midfielder
284,284,16,1,73,1.85,midfielder
285,285,16,1,82,1.88,midfielder
286,286,16,1,71,1.8,forward
287,287,16,1,73,1.79,forward
288,288,16,1,75,1.73,forward
289,289,17,1,88,1.9,keeper
290,290,17,1,90,1.97,keeper
291,291,17,1,77,1.78,defender
292,292,17,1,79,1.82,defender
293,293,17,1,68,1.7,defender
294,294,17,1,85,1.89,defender
295,295,17,1,80,1.91,defender
296,296,17,1,68,1.73,midfielder
297,297,17,1,74,1.76,midfielder
298,298,17,1,74,1.84,midfielder
299,299,17,1,60,1.74,midfielder
300,300,17,1,82,1.91,midfielder
301,301,17,1,76,1.89,midfielder
302,302,17,1,72,1.79,forward
303,303,17,1,66,1.78,forward
304,304,17,1,77,1.84,forward
305,305,17,1,82,1.89,forward
306,306,17,1,70,1.74,forward
307,307,18,1,80,1.85,keeper
308,308,18,1,71,1.79,keeper
309,309,18,1,65,1.7,defender
310,310,18,1,77,1.8,defender
311,311,18,1,81,1.86,defender
312,312,18,1,78,1.83,defender
313,313,18,1,70,1.72,defender
314,314,18,1,88,1.92,defender
315,315,18,1,97,1.95,defender
316,316,18,1,79,1.82,midfielder
317,317,18,1,73,1.76,midfielder
318,318,18,1,81,1.88,midfielder
319,319,18,1,66,1.79,midfielder
320,320,18,1,70,1.75,forward
321,321,18,1,71,1.78,forward
322,322,18,1,72,1.8,forward
323,323,18,1,71,1.76,forward
324,324,18,1,76,1.83,forward
325,325,19,1,92,1.93,keeper
326,326,19,1,85,1.87,keeper
327,327,19,1,83,1.88,defender
328,328,19,1,76,1.83,defender
329,329,19,1,76,1.86,defender
330,330,19,1,75,1.8,defender
331,331,19,1,85,1.9,defender
332,332,19,1,97,1.95,defender
333,333,19,1,79,1.89,midfielder
334,334,19,1,79,1.8,midfielder
335,335,19,1,82,1.89,midfielder
336,336,19,1,73,1.76,midfielder
337,337,19,1,73,1.76,midfielder
338,338,19,1,75,1.75,forward
339,339,19,1,75,1.86,forward
340,340,19,1,71,1.8,forward
341,341,19,1,75,1.83,forward
342,342,19,1,75,1.8,forward
343,343,20,1,84,1.87,keeper
344,344,20,1,82,1.85,keeper
345,345,20,1,68,1.7,defender
346,346,20,1,76,1.81,defender
347,347,20,1,84,1.87,defender
348,348,20,1,72,1.78,defender
349,349,20,1,87,1.89,defender
350,350,20,1,76,1.76,midfielder
351,351,20,1,68,1.77,midfielder
352,352,20,1,74,1.77,midfielder
353,353,20,1,64,1.75,midfielder
354,354,20,1,69,1.8,midfielder
355,355,20,1,71,1.73,forward
356,356,20,1,63,1.7,forward
357,357,20,1,66,1.76,forward
358,358,20,1,68,1.74,forward
359,359,20,1,71,1.78,forward
360,360,20,1,71,1.82,forward
361,361,21,1,96,1.99,keeper
362,362,21,1,87,1.93,keeper
363,363,21,1,81,1.86,defender
364,364,21,1,80,1.85,defender
365,365,21,1,80,1.84,defender
366,366,21,1,82,1.9,defender
367,367,21,1,86,1.89,defender
368,368,21,1,73,1.81,midfielder
369,369,21,1,68,1.81,midfielder
370,370,21,1,79,1.92,midfielder
371,371,21,1,71,1.75,midfielder
372,372,21,1,72,1.76,midfielder
373,373,21,1,77,1.84,midfielder
374,374,21,1,81,1.86,midfielder
375,375,21,1,72,1.71,forward
376,376,21,1,74,1.75,forward
377,377,21,1,94,1.91,forward
378,378,21,1,61,1.69,forward
379,379,22,1,80,1.95,keeper
380,380,22,1,88,1.85,keeper
381,381,22,1,75,1.78,defender
382,382,22,1,82,1.88,defender
383,383,22,1,77,1.8,defender
384,384,22,1,68,1.75,defender
385,385,22,1,84,1.83,defender
386,386,22,1,86,1.95,defender
387,387,22,1,71,1.83,midfielder
388,388,22,1,75,1.83,midfielder
389,389,22,1,66,1.75,midfielder
390,390,22,1,72,1.85,midfielder
391,391,22,1,77,1.86,midfielder
392,392,22,1,73,1.75,midfielder
393,393,22,1,73,1.71,midfielder
394,394,22,1,73,1.8,forward
395,395,22,1,70,1.74,forward
396,396,22,1,86,1.88,forward
397,397,23,1,78,1.95,keeper
398,398,23,1,89,1.9,keeper
399,399,23,1,76,1.88,defender
400,400,23,1,73,1.81,defender
401,401,23,1,78,1.89,defender
402,402,23,1,82,1.88,defender
403,403,23,1,84,1.88,defender
404,404,23,1,82,1.86,midfielder
405,405,23,1,70,1.83,midfielder
406,406,23,1,82,1.88,midfielder
407,407,23,1,53,1.58,midfielder
408,408,23,1,65,1.78,midfielder
409,409,23,1,60,1.75,forward
410,410,23,1,72,1.82,forward
411,411,23,1,73,1.89,forward
412,412,23,1,85,1.88,forward
413,413,23,1,69,1.75,forward
414,414,23,1,70,1.82,forward
415,415,24,1,79,1.87,keeper
416,416,24,1,88,1.95,keeper
417,417,24,1,89,1.92,defender
418,418,24,1,80,1.85,defender
419,419,24,1,68,1.75,defender
420,420,24,1,84,1.88,defender
421,421,24,1,79,1.87,defender
422,422,24,1,76,1.84,defender
423,423,24,1,68,1.81,midfielder
424,424,24,1,80,1.76,midfielder
425,425,24,1,66,1.72,midfielder
426,426,24,1,82,1.88,midfielder
427,427,24,1,80,1.86,midfielder
428,428,24,1,79,1.78,midfielder
429,429,24,1,70,1.75,forward
430,430,24,1,73,1.77,forward
431,431,24,1,84,1.82,forward
432,432,24,1,69,1.79,forward
433,433,25,1,91,1.91,keeper
434,434,25,1,81,1.88,keeper
435,435,25,1,80,1.8,defender
436,436,25,1,84,1.84,defender
437,437,25,1,78,1.86,defender
438,438,25,1,75,1.83,defender
439,439,25,1,79,1.83,defender
440,440,25,1,84,1.85,midfielder
441,441,25,1,68,1.71,midfielder
442,442,25,1,78,1.88,midfielder
443,443,25,1,72,1.69,midfielder
444,444,25,1,72,1.8,midfielder
445,445,25,1,63,1.74,forward
446,446,25,1,68,1.75,forward
447,447,25,1,68,1.75,forward
448,448,25,1,63,1.76,forward
449,449,25,1,77,1.83,forward
450,450,25,1,73,1.76,forward
451,451,26,1,85,1.91,keeper
452,452,26,1,92,2.02,keeper
453,453,26,1,92,1.95,defender
454,454,26,1,84,1.94,defender
455,455,26,1,85,1.88,defender
456,456,26,1,75,1.81,midfielder
457,457,26,1,73,1.87,midfielder
458,458,26,1,82,1.84,midfielder
459,459,26,1,66,1.81,midfielder
460,460,26,1,77,1.83,midfielder
461,461,26,1,78,1.89,midfielder
462,462,26,1,76,1.91,midfielder
463,463,26,1,76,1.86,midfielder
464,464,26,1,62,1.69,midfielder
465,465,26,1,85,1.82,forward
466,466,26,1,90,1.88,forward
467,467,26,1,74,1.81,forward
468,468,26,1,75,1.9,forward
469,469,27,1,79,1.83,keeper
470,470,27,1,88,1.94,keeper
471,471,27,1,91,1.87,defender
472,472,27,1,78,1.89,defender
473,473,27,1,83,1.84,defender
474,474,27,1,77,1.82,defender
475,475,27,1,84,1.88,defender
476,476,27,1,78,1.83,defender
477,477,27,1,77,1.81,midfielder
478,478,27,1,72,1.89,midfielder
479,479,27,1,77,1.84,midfielder
480,480,27,1,82,1.85,midfielder
481,481,27,1,80,1.9,midfielder
482,482,27,1,79,1.82,midfielder
483,483,27,1,84,1.85,forward
484,484,27,1,85,1.85,forward
485,485,27,1,88,1.87,forward
486,486,27,1,68,1.79,forward
487,487,28,1,93,1.9,keeper
488,488,28,1,80,1.89,keeper
489,489,28,1,78,1.86,defender
490,490,28,1,70,1.65,defender
491,491,28,1,70,1.8,defender
492,492,28,1,74,1.91,defender
493,493,28,1,93,1.9,defender
494,494,28,1,79,1.78,defender
495,495,28,1,77,1.82,midfielder
496,496,28,1,80,1.8,midfielder
497,497,28,1,73,1.83,midfielder
498,498,28,1,74,1.85,midfielder
499,499,28,1,83,1.84,midfielder
500,500,28,1,78,1.84,forward
501,501,28,1,88,1.85,forward
502,502,28,1,82,1.91,forward
503,503,28,1,74,1.81,forward
504,504,28,1,78,1.85,forward
505,505,29,1,81,1.87,keeper
506,506,29,1,84,1.9,keeper
507,507,29,1,74,1.82,defender
508,508,29,1,80,1.91,defender
509,509,29,1,70,1.76,defender
510,510,29,1,81,1.88,defender
511,511,29,1,71,1.7,defender
512,512,29,1,83,1.86,defender
513,513,29,1,64,1.73,midfielder
514,514,29,1,69,1.79,midfielder
515,515,29,1,83,1.88,midfielder
516,516,29,1,61,1.7,midfielder
517,517,29,1,70,1.76,midfielder
518,518,29,1,80,1.8,midfielder
519,519,29,1,84,1.85,forward
520,520,29,1,83,1.87,forward
521,521,29,1,73,1.78,forward
522,522,29,1,73,1.79,forward
523,523,30,1,80,1.9,keeper
524,524,30,1,100,1.9,keeper
525,525,30,1,79,1.86,defender
526,526,30,1,72,1.8,defender
527,527,30,1,81,1.82,defender
528,528,30,1,64,1.78,defender
529,529,30,1,83,1.87,defender
530,530,30,1,75,1.8,defender
531,531,30,1,73,1.82,midfielder
532,532,30,1,70,1.77,midfielder
533,533,30,1,73,1.79,midfielder
534,534,30,1,77,1.85,midfielder
535,535,30,1,72,1.71,midfielder
536,536,30,1,75,1.75,forward
537,537,30,1,72,1.76,forward
538,538,30,1,80,1.82,forward
539,539,30,1,72,1.77,forward
540,540,30,1,70,1.75,forward
541,541,31,1,74,1.9,keeper
542,542,31,1,82,1.9,keeper
543,543,31,1,79,1.88,defender
544,544,31,1,78,1.8,defender
545,545,31,1,80,1.85,defender
546,546,31,1,79,1.87,defender
547,547,31,1,78,1.85,defender
548,548,31,1,70,1.76,defender
549,549,31,1,77,1.87,midfielder
550,550,31,1,70,1.72,midfielder
551,551,31,1,65,1.67,midfielder
552,552,31,1,64,1.68,midfielder
553,553,31,1,78,1.82,midfielder
554,554,31,1,81,1.87,midfielder
555,555,31,1,71,1.84,forward
556,556,31,1,78,1.87,forward
557,557,31,1,69,1.74,forward
558,558,31,1,86,1.82,forward
559,559,32,1,84,1.87,keeper
560,560,32,1,75,1.89,keeper
561,561,32,1,70,1.76,defender
562,562,32,1,72,1.77,defender
563,563,32,1,88,1.9,defender
564,564,32,1,83,1.86,defender
565,565,32,1,68,1.77,defender
566,566,32,1,74,1.8,defender
567,567,32,1,70,1.77,midfielder
568,568,32,1,76,1.86,midfielder
569,569,32,1,70,1.8,midfielder
570,570,32,1,72,1.82,midfielder
571,571,32,1,82,1.88,forward
572,572,32,1,77,1.77,forward
573,573,32,1,73,1.83,forward
574,574,32,1,86,1.74,forward
575,575,32,1,78,1.83,forward
576,576,32,1,72,1.79,forward
